Article,Text
Article 5,"1. In the initial stage of the procedure, within 10 days of the appointment of the mediator, the Party having launched the mediation procedure shall present, in writing, a detailed description of the problem to the mediator and to the other Party, in particular of the operation of the measure at issue and its trade effects. Within 20 days of the date of delivery of this submission, the other Party may provide, in writing, its comments to the description of the problem. Either Party may include in its description or comments any information that it deems relevant."
Article 5,"2. The mediator may decide on the most appropriate way of conducting the initial stage, in particular whether to consult the Parties jointly or individually, seek the assistance of or consult with relevant experts and stakeholders."
Article 5,"3. Following the initial stage, the mediator may provide an advisory opinion and propose a solution for the Parties’ consideration. In any such opinion, the mediator shall not consider whether the measure at issue is consistent or not with this Agreement; nor shall the mediator question the legitimacy of the policy objectives of the measure. The mediator may meet individually or jointly with the Parties in order to facilitate a mutually agreed solution. This stage of the procedure shall normally be completed within 60 days of the date of the appointment of the mediator."
Article 5,"4. The procedure shall be confidential and shall take place in the territory of the Party to which the request was addressed, or by a mutual agreement in any other location or by any other means."
Article 5,5. The procedure shall be terminated:
Article 5,"(a) by the signature of a settlement agreement by the Parties, on the date of that signature;"
Article 5,"(b) by a mutual agreement of the Parties at any stage of the procedure, on the date of that agreement;"
Article 5,"(c) by a written declaration of the mediator, after consultation with the Parties, that further efforts at mediation are no longer justified; or"
Article 5,(d) by a written declaration of a Party after exploring mutually agreed solutions under the mediation n procedure and after having considered any advisory opinions and proposals by the mediator.
Article 6,Implementation of a mutually agreed solution
Article 6,"1. Where the Parties have agreed to a solution, each Party shall take any measure necessary to implement the mutually agreed solution without undue delay."
